273,356,650
357,207,1113
21,34,62
546,75,1514
732,833,1721
858,1432,2015
411,300,1054
270,192,683
147,228,356
468,338,1187
807,961,1896
798,41,2000
882,1002,2071
357,678,846
234,265,559
711,457,2335
852,371,2265
108,24,339
684,215,2256
411,267,1365
789,1019,1854
459,391,1343
243,387,580
108,117,265
588,549,1860
426,273,1403
834,283,1977
861,86,2282
819,32,2022
399,230,1238
429,50,1166
375,294,1024
708,1067,1665
747,1054,1756
210,179,624
114,79,292
804,1063,1889
879,68,2270
714,280,1808
660,736,1553
207,287,496
192,192,461
258,175,628
684,1239,1609
468,144,1539
753,714,2410
468,204,1252
663,1309,1560
840,574,2019
588,572,1929
117,126,286
690,541,1870
234,447,559
51,90,132
360,22,921
252,60,783
693,1169,1630
777,1123,1826
888,781,2656
774,574,1997
483,537,1140
702,1271,1651
861,525,2739
273,234,810
297,313,706
462,325,1146
390,82,1171
156,155,534
525,296,1604
111,215,272
765,497,2527
762,252,2549
306,143,853
750,32,1861
189,317,454
330,561,783
246,488,587
312,406,741
288,30,777
498,774,1175
852,1016,2001
453,474,1070
537,865,1266
690,972,1623
774,910,1819
573,10,1382
540,996,1273
201,153,543
798,471,2493
444,732,1049
576,671,1357
645,140,1940
411,742,972
123,72,396
399,145,983
174,218,419
543,720,1280
813,96,2200
894,1412,2099
798,790,2653
624,316,1796
459,858,1084
429,222,1254
246,182,645
228,347,545
804,1218,1889
225,98,610
687,11,1651
270,424,643
288,373,685
279,246,848
132,128,445
405,743,958
711,1107,1672
48,14,169
375,23,959
846,1426,1987
552,446,1539
45,13,159
117,182,286
339,313,1069
228,131,713
351,453,832
180,132,473
204,405,489
570,117,1696
249,416,594
249,309,594
735,908,1728
15,22,48
24,28,69
429,358,1234
411,42,1100
342,565,811
708,653,2212
564,617,1329
534,91,1534
234,198,689
630,817,1483
297,469,706
855,700,2402
726,1249,1707
495,203,1285
459,878,1084
609,751,1434
687,628,2130
171,52,570
315,329,748
111,93,333
717,861,1686
42,25,147
414,105,1296
603,522,1784
519,270,1518
435,862,1028
450,19,1122
354,659,839
741,131,2137
69,58,214
114,8,305
444,675,1049
51,97,132
837,1552,1966
228,394,545
855,149,2457
369,275,965
813,1466,1910
249,27,677
774,162,2307
606,879,1427
135,121,425
843,250,2732
51,28,168
327,434,776
711,1272,1672
306,547,727
438,774,1035
690,1280,1623
252,298,601
126,33,408
207,296,496
606,219,1481
540,386,1355
420,36,1103
702,1013,1651
690,493,1726
624,1070,1469
564,177,1862
864,741,2528
591,257,1575
294,523,699
429,432,1014
147,253,356
657,464,1628
882,1467,2071
654,98,1835
435,139,1447
249,393,594
351,636,832
888,463,2589
570,740,1343
435,836,1028
39,72,104
465,6,1118
465,859,1098
678,476,1671
303,105,735
594,594,1399
798,79,2114
813,815,1910
612,337,1843
540,967,1273
294,203,724
441,710,1042
159,164,384
498,356,1251
591,928,1392
606,975,1427
753,145,2207
840,753,2556
318,324,755
384,224,1200
273,47,793
81,113,202
84,152,209
525,257,1487
654,853,1539
495,381,1325
99,95,335
669,845,1574
219,258,524
345,412,818
294,83,950
840,1487,1973
321,358,762
75,21,253
