512,3997182
32,10462
16,2286
64,47038
4,98
1024,17300478
2048,74446846
512,3997182
32,10462
4,98
4,98
32,10462
4,98
4,98
8,486
2,17
1024,17300478
256,917246
1024,17300478
8,486
8,486
256,917246
16,2286
4096,318763006
1024,17300478
32,10462
1024,17300478
128,208766
4,98
8,486
2,17
2048,74446846
32,10462
1,1
4,98
1024,17300478
2,17
512,3997182
256,917246
4,98
2,17
16,2286
32,10462
1,1
64,47038
128,208766
64,47038
16,2286
2,17
32,10462
16,2286
2048,74446846
4,98
16,2286
512,3997182
2,17
4,98
256,917246
1,1
1,1
128,208766
1024,17300478
32,10462
8,486
1,1
2,17
64,47038
64,47038
256,917246
32,10462
256,917246
1,1
32,10462
512,3997182
8,486
4096,318763006
512,3997182
32,10462
256,917246
32,10462
8,486
8,486
1024,17300478
4,98
1024,17300478
4096,318763006
2,17
256,917246
32,10462
32,10462
8,486
128,208766
4,98
64,47038
512,3997182
256,917246
2,17
2,17
1,1
2048,74446846
512,3997182
256,917246
512,3997182
16,2286
1,1
32,10462
8,486
8,486
256,917246
256,917246
8,486
4,98
64,47038
2,17
1024,17300478
64,47038
1024,17300478
32,10462
512,3997182
16,2286
256,917246
1,1
2048,74446846
512,3997182
128,208766
1024,17300478
4096,318763006
256,917246
1024,17300478
2048,74446846
128,208766
256,917246
32,10462
8,486
4,98
2048,74446846
4096,318763006
16,2286
16,2286
128,208766
4096,318763006
1,1
64,47038
8,486
128,208766
1,1
128,208766
128,208766
1,1
2,17
16,2286
4,98
8,486
512,3997182
8,486
2,17
2048,74446846
512,3997182
128,208766
1024,17300478
2048,74446846
512,3997182
2,17
1,1
32,10462
8,486
2,17
2,17
64,47038
1,1
1,1
256,917246
2048,74446846
512,3997182
16,2286
256,917246
2,17
1,1
4,98
8,486
2,17
1024,17300478
4096,318763006
2,17
16,2286
2,17
512,3997182
16,2286
64,47038
2048,74446846
1024,17300478
1024,17300478
16,2286
256,917246
1,1
4096,318763006
2,17
1,1
128,208766
256,917246
8,486
32,10462
256,917246
1024,17300478
512,3997182
2048,74446846
1,1
64,47038
128,208766
2048,74446846
4096,318763006
512,3997182
1,1
2,17
2048,74446846
64,47038
16,2286
256,917246
128,208766
16,2286
512,3997182
4,98
64,47038
8,486
16,2286
32,10462
8,486
4096,318763006
4096,318763006
1024,17300478
4,98
8,486
32,10462
64,47038
4,98
1024,17300478
256,917246
1,1
4096,318763006
1024,17300478
512,3997182
128,208766
32,10462
8,486
4096,318763006
2048,74446846
8,486
256,917246
4,98
64,47038
128,208766
16,2286
2048,74446846
2,17
16,2286
128,208766
2048,74446846
1,1
32,10462
1,1
1,1
4,98
512,3997182
4096,318763006
16,2286
4,98
8,486
64,47038
1024,17300478
4096,318763006
512,3997182
32,10462
1,1
1,1
16,2286
256,917246
128,208766
8,486
32,10462
1024,17300478
32,10462
1024,17300478
16,2286
1,1
16,2286
2048,74446846
1,1
128,208766
64,47038
4,98
1024,17300478
2048,74446846
256,917246
32,10462
8,486
1,1
64,47038
1024,17300478
64,47038
128,208766
256,917246
8,486
4096,318763006
1024,17300478
4096,318763006
64,47038
1024,17300478
2,17
64,47038
1024,17300478
512,3997182
1,1
64,47038
1024,17300478
16,2286
4096,318763006
2,17
64,47038
64,47038
16,2286
16,2286
256,917246
1,1
16,2286
1024,17300478
4,98
256,917246
1024,17300478
16,2286
8,486
256,917246
256,917246
256,917246
128,208766
32,10462
8,486
128,208766
4096,318763006
1024,17300478
4,98
256,917246
64,47038
128,208766
1024,17300478
128,208766
512,3997182
2048,74446846
1024,17300478
64,47038
1,1
64,47038
1024,17300478
1,1
4096,318763006
8,486
1,1
1024,17300478
64,47038
16,2286
256,917246
512,3997182
8,486
64,47038
4,98
2,17
2048,74446846
2,17
4096,318763006
128,208766
8,486
8,486
32,10462
64,47038
128,208766
1024,17300478
64,47038
64,47038
32,10462
128,208766
1,1
16,2286
64,47038
1024,17300478
4096,318763006
4096,318763006
2,17
512,3997182
8,486
64,47038
2,17
4096,318763006
4,98
128,208766
256,917246
1024,17300478
32,10462
2,17
16,2286
2048,74446846
1,1
2,17
256,917246
128,208766
8,486
8,486
8,486
16,2286
4096,318763006
1,1
64,47038
256,917246
4096,318763006
512,3997182
64,47038
512,3997182
32,10462
4,98
2,17
1,1
16,2286
64,47038
32,10462
4096,318763006
2048,74446846
64,47038
2,17
128,208766
2048,74446846
8,486
128,208766
2,17
2,17
256,917246
1024,17300478
32,10462
128,208766
2048,74446846
4096,318763006
1024,17300478
4,98
4,98
1024,17300478
2,17
4,98
1,1
64,47038
4,98
4096,318763006
4,98
4,98
256,917246
1,1
2048,74446846
2,17
256,917246
256,917246
2,17
256,917246
32,10462
16,2286
512,3997182
16,2286
512,3997182
8,486
2,17
32,10462
4096,318763006
16,2286
4,98
16,2286
64,47038
1,1
2048,74446846
4096,318763006
256,917246
32,10462
4,98
8,486
512,3997182
64,47038
64,47038
8,486
16,2286
4096,318763006
256,917246
4096,318763006
4,98
256,917246
2,17
2048,74446846
16,2286
8,486
128,208766
1024,17300478
16,2286
2,17
1,1
1,1
64,47038
1,1
